node,environment,(unused),elapsedTime,epoch,iteration,accuracy,f1,precision,recall,gmeasure,mcc,score,before or after averaging,#peers included in current batch
5558, Figure 4.3 - bristle, 0, 12637, 1, 10, 0.5, 0.575458326566701, 0.6348169124108974, 0.5, 0.43533324607761525, NaN, 1.5775704591778694, before, 9
5560, Figure 4.3 - bristle, 0, 12801, 1, 10, 0.56, 0.7137326847471774, 0.5899416034219956, 0.5599999999999999, 0.44209428618751156, NaN, 1.3510001533641014, before, 3
5566, Figure 4.3 - bristle, 0, 13030, 1, 10, 0.49, 0.6436650284827002, 0.6087148962148962, 0.48999999999999994, 0.40601039697589936, NaN, 1.4364189541979215, before, 4
5558, Figure 4.3 - bristle, 0, 13286, 1, 10, 0.42, 0.6074731341812087, 0.582905982905983, 0.42000000000000004, 0.3280138963620144, NaN, 1.301564626019541, before, -
5582, Figure 4.3 - bristle, 0, 13457, 1, 10, 0.49, 0.5045201124078147, 0.7050990675990676, 0.49000000000000005, 0.45368875436141237, NaN, 1.6327686874098024, before, 3
5560, Figure 4.3 - bristle, 0, 13467, 1, 10, 0.46, 0.5774112847570071, 0.5447089947089947, 0.4600000000000001, 0.3686070243585518, NaN, 1.4664166525782407, before, -
5566, Figure 4.3 - bristle, 0, 13676, 1, 10, 0.42, 0.4994966557466558, 0.5890669984872884, 0.41999999999999993, 0.337149735889729, NaN, 1.3906868064517486, before, -
5556, Figure 4.3 - bristle, 0, 13576, 1, 10, 0.59, 0.7199124994043323, 0.7131820564483103, 0.59, 0.5236074912213668, NaN, 1.457531068905174, before, 5
5582, Figure 4.3 - bristle, 0, 14159, 1, 10, 0.41, 0.5877062812031524, 0.5120772200772201, 0.41, 0.31215373197186064, NaN, 1.4054497984831555, before, -
5578, Figure 4.3 - bristle, 0, 14320, 1, 10, 0.61, 0.7033578431372548, 0.7364201770451771, 0.6100000000000001, 0.5805885776928581, NaN, 1.5658791888558, before, 3
5556, Figure 4.3 - bristle, 0, 14339, 1, 10, 0.5, 0.5451506141161314, 0.7063293153518718, 0.5, 0.428344411651193, NaN, 1.5891471981096383, before, -
5554, Figure 4.3 - bristle, 0, 14755, 1, 10, 0.72, 0.7723849621211312, 0.8156716740050073, 0.72, 0.7106550150229872, NaN, 1.4446238299724685, before, 6
5578, Figure 4.3 - bristle, 0, 14987, 1, 10, 0.39, 0.4559033559033559, 0.5857727920227921, 0.39, 0.31517871533216224, NaN, 1.5676829249150614, before, -
5554, Figure 4.3 - bristle, 0, 15412, 1, 10, 0.5, 0.5368367290921638, 0.7486165507833128, 0.4999999999999999, 0.4779541641660461, NaN, 1.438151099135639, before, -
5574, Figure 4.3 - bristle, 0, 17082, 1, 10, 0.64, 0.6625651610171732, 0.7537477954144621, 0.64, 0.6254113176723449, NaN, 1.414664410885827, before, 4
5584, Figure 4.3 - bristle, 0, 17735, 2, 20, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.6756054415151924, before, 8
5574, Figure 4.3 - bristle, 0, 17796, 1, 10, 0.49, 0.4645746410452293, 0.6525743546576881, 0.49000000000000005, 0.46961745774990105, NaN, 1.4792235009898378, before, -
5584, Figure 4.3 - bristle, 0, 18278, 2, 20, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.8670928371370566, before, -
5568, Figure 4.3 - bristle, 0, 18525, 0, 10, 0.01, 0.005102040816326531, 0.003205128205128205, 0.01, 0.005063696835418333, NaN, 1.6206909692170466, before, 10
5568, Figure 4.3 - bristle, 0, 19168, 0, 10, 0.02, 0.01746031746031746, 0.014935064935064935, 0.02, 0.01487985073070441, NaN, 1.7287515922974512, before, -
5564, Figure 4.3 - bristle, 0, 21113, 0, 10, 0.02, 0.011627906976744188, 0.007575757575757576, 0.02, 0.011009637651263606, NaN, 1.798461015351466, before, 7
5564, Figure 4.3 - bristle, 0, 21559, 0, 10, 0.01, 0.005847953216374268, 0.003968253968253968, 0.01, 0.005976143046671968, NaN, 2.3202342075017435, before, -
5580, Figure 4.3 - bristle, 0, 22302, 0, 10, 0.87, 0.8415262515262516, 0.9002272727272729, 0.8699999999999999, 0.8583195976053377, 0.848336161343531, 1.4041850024271134, before, 3
5580, Figure 4.3 - bristle, 0, 22949, 0, 10, 0.87, 0.8499792020844653, 0.897449494949495, 0.8700000000000001, 0.864874294116559, 0.8539978199992377, 1.6423103736021627, before, -
5572, Figure 4.3 - bristle, 0, 22887, 0, 10, 0.08, 0.048403361344537814, 0.03095238095238095, 0.07999999999999999, 0.04145497224367902, NaN, 1.7423043753844079, before, 11
5570, Figure 4.3 - bristle, 0, 23353, 0, 10, 0.03, 0.014778325123152709, 0.008928571428571428, 0.03, 0.013693063937629152, NaN, 2.340641699033727, before, 12
5572, Figure 4.3 - bristle, 0, 23520, 0, 10, 0.06, 0.03986710963455149, 0.025974025974025976, 0.06, 0.03302891295379082, NaN, 2.1780390205812843, before, -
