node,environment,(unused),elapsedTime,epoch,iteration,accuracy,f1,precision,recall,gmeasure,mcc,score,before or after averaging,#peers included in current batch
5564, Figure 4.1 - average, 0, 44, 0, 0, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 0.0, before, 5
5570, Figure 4.1 - average, 0, 46, 0, 0, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 0.0, before, 5
5572, Figure 4.1 - average, 0, 52, 0, 0, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 0.0, before, 5
5554, Figure 4.1 - average, 0, 41, 0, 0, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 0.0, before, 5
5560, Figure 4.1 - average, 0, 49, 0, 0, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 0.0, before, 5
5558, Figure 4.1 - average, 0, 73, 0, 0, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 0.0, before, 5
5568, Figure 4.1 - average, 0, 43, 0, 0, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 0.0, before, 5
5556, Figure 4.1 - average, 0, 28, 0, 0, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 0.0, before, 5
5562, Figure 4.1 - average, 0, 46, 0, 0, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 0.0, before, 5
5566, Figure 4.1 - average, 0, 50, 0, 0, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 0.0, before, 5
5564, Figure 4.1 - average, 0, 1091, 0, 0, 0.23, 0.346415770609319, 0.2518218623481781, 0.22999999999999998, 0.12515181856960916, NaN, 2.302585220336914, before, -
5570, Figure 4.1 - average, 0, 1020, 0, 0, 0.26, 0.4454064454064454, 0.31813015061096905, 0.26, 0.15278077571680723, NaN, 2.302585220336914, before, -
5558, Figure 4.1 - average, 0, 1088, 0, 0, 0.21, 0.2850920066539761, 0.4683578832515003, 0.21000000000000002, 0.1216022379684795, NaN, 2.302585220336914, before, -
5560, Figure 4.1 - average, 0, 1123, 0, 0, 0.26, 0.4101391966667109, 0.3474702380952381, 0.26, 0.17954332506372134, NaN, 2.302585220336914, before, -
5556, Figure 4.1 - average, 0, 1045, 0, 0, 0.26, 0.40063719633612105, 0.2662337662337662, 0.26, 0.14252931140530575, NaN, 2.302585220336914, before, -
5572, Figure 4.1 - average, 0, 1231, 0, 0, 0.21, 0.48638078713266686, 0.5934343434343433, 0.21000000000000002, 0.16509316009522454, NaN, 2.302585220336914, before, -
5566, Figure 4.1 - average, 0, 1121, 0, 0, 0.29, 0.4659710069217709, 0.3869408369408369, 0.29, 0.20217645180995833, NaN, 2.302585220336914, before, -
5554, Figure 4.1 - average, 0, 2047, 0, 0, 0.21, 0.3027050468910934, 0.20707070707070707, 0.21000000000000002, 0.11044093128531385, NaN, 2.302585220336914, before, -
5568, Figure 4.1 - average, 0, 2070, 0, 0, 0.28, 0.48256410256410254, 0.34949494949494947, 0.27999999999999997, 0.16569489666430276, NaN, 2.302585220336914, before, -
5562, Figure 4.1 - average, 0, 2006, 0, 0, 0.16, 0.43137254901960775, 0.42934782608695654, 0.16, 0.10005106299478303, NaN, 2.302585220336914, before, -
5566, Figure 4.1 - average, 0, 7838, 1, 10, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 3.7117871752389417, before, 10
5564, Figure 4.1 - average, 0, 8239, 1, 10, 0.1, 0.06666666666666667, 0.037037037037037035, 0.1, 0.03333333333333333, NaN, 4.436852788750693, before, 11
5558, Figure 4.1 - average, 0, 8343, 1, 10, 0.1, 0.09433962264150943, 0.052083333333333336, 0.1, 0.03227486121839514, NaN, 3.4880799226077306, before, 11
5560, Figure 4.1 - average, 0, 8289, 1, 10, 0.01, 0.010416666666666666, 0.006172839506172839, 0.01, 0.004303314829119352, NaN, 4.330780326386676, before, 11
5566, Figure 4.1 - average, 0, 8572, 1, 10, 0.09, 0.14, 0.08333333333333334, 0.09, 0.038577380332470414, NaN, 3.5360124854814874, before, -
5556, Figure 4.1 - average, 0, 8778, 1, 10, 0.04, 0.02666666666666666, 0.014814814814814815, 0.04, 0.013333333333333332, NaN, 3.3325200714842595, before, 9
5564, Figure 4.1 - average, 0, 9107, 1, 10, 0.1, 0.09523809523809525, 0.05263157894736842, 0.1, 0.03244428422615251, NaN, 2.7232170036580645, before, -
5558, Figure 4.1 - average, 0, 9129, 1, 10, 0.09, 0.09473684210526316, 0.052941176470588235, 0.09, 0.030869745325651593, NaN, 3.1486859084169643, before, -
5572, Figure 4.1 - average, 0, 9247, 1, 10, 0.11, 0.13495104299702002, 0.08270202020202021, 0.11000000000000001, 0.052237484108156006, NaN, 4.216215089293874, before, 11
5570, Figure 4.1 - average, 0, 9262, 1, 10, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.784965847296153, before, 11
5560, Figure 4.1 - average, 0, 9230, 1, 10, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.776503565890162, before, -
5556, Figure 4.1 - average, 0, 9740, 1, 10, 0.1, 0.0925925925925926, 0.05102040816326531, 0.1, 0.031943828249996996, NaN, 3.6751360711976666, before, -
5554, Figure 4.1 - average, 0, 10001, 1, 10, 0.15, 0.16705164164329317, 0.10998964803312629, 0.15, 0.08020082355557254, NaN, 3.208083718470916, before, 11
5572, Figure 4.1 - average, 0, 10095, 1, 10, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.603712439013325, before, -
5570, Figure 4.1 - average, 0, 10239, 1, 10, 0.13, 0.20355355355355356, 0.1335932423651722, 0.13, 0.07201958216659833, NaN, 3.802330881816488, before, -
5568, Figure 4.1 - average, 0, 10180, 1, 10, 0.09, 0.15288220551378445, 0.09213167402649539, 0.09, 0.04070710352375863, NaN, 3.7757651174650526, before, 10
5562, Figure 4.1 - average, 0, 10364, 1, 10, 0.1, 0.09174311926605505, 0.050505050505050504, 0.1, 0.03178208630818641, NaN, 4.521538777208562, before, 10
5554, Figure 4.1 - average, 0, 10943, 1, 10, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.39031119276784, before, -
5568, Figure 4.1 - average, 0, 11159, 1, 10, 0.1, 0.09174311926605505, 0.050505050505050504, 0.1, 0.03178208630818641, NaN, 3.340336756389161, before, -
5562, Figure 4.1 - average, 0, 12165, 1, 10, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.925911882080263, before, -
5566, Figure 4.1 - average, 0, 15044, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.631695270121645, before, 11
5558, Figure 4.1 - average, 0, 15260, 2, 20, 0.08, 0.16263480034975225, 0.10253110253110254, 0.07999999999999999, 0.04037536250815053, NaN, 3.3761846217834774, before, 11
5566, Figure 4.1 - average, 0, 16009, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.4204408186997535, before, -
5570, Figure 4.1 - average, 0, 16762, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.6933993081891456, before, 6
5560, Figure 4.1 - average, 0, 16978, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 4.077616452695156, before, 11
5558, Figure 4.1 - average, 0, 17162, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.386241855386479, before, -
5570, Figure 4.1 - average, 0, 17388, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.81681369135189, before, -
5564, Figure 4.1 - average, 0, 17483, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 4.0880601145188935, before, 10
5560, Figure 4.1 - average, 0, 17907, 2, 20, 0.06, 0.09899888765294772, 0.05929487179487179, 0.06000000000000001, 0.026669869677893355, NaN, 3.2982972334943863, before, -
5572, Figure 4.1 - average, 0, 18114, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.313409083681327, before, 10
5554, Figure 4.1 - average, 0, 18284, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.57051489509191, before, 11
5556, Figure 4.1 - average, 0, 18148, 2, 20, 0.13, 0.16732804232804233, 0.10410460112545515, 0.13, 0.06354391555435471, NaN, 4.438753002276972, before, 10
5564, Figure 4.1 - average, 0, 18365, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.224661833273749, before, -
5568, Figure 4.1 - average, 0, 18513, 2, 20, 0.15, 0.16854990583804144, 0.10136054421768707, 0.15, 0.06753607492026045, NaN, 3.525694664653602, before, 9
5554, Figure 4.1 - average, 0, 19000, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.425400638057772, before, -
5572, Figure 4.1 - average, 0, 18986, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.337674187869416, before, -
5556, Figure 4.1 - average, 0, 19035, 2, 20, 0.1, 0.0925925925925926, 0.05102040816326531, 0.1, 0.031943828249996996, NaN, 3.5855747283109762, before, -
5568, Figure 4.1 - average, 0, 19257, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.565835857684224, before, -
5562, Figure 4.1 - average, 0, 19960, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.6233603924722413, before, 10
5562, Figure 4.1 - average, 0, 20795, 2, 20, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.371369564927918, before, -
5566, Figure 4.1 - average, 0, 22458, 3, 30, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.662788290686522, before, 7
5566, Figure 4.1 - average, 0, 23339, 3, 30, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.961829653727218, before, -
5558, Figure 4.1 - average, 0, 23579, 3, 30, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 4.86048645552688, before, 10
5564, Figure 4.1 - average, 0, 23974, 3, 30, 0.08, 0.13203463203463203, 0.0925925925925926, 0.08, 0.045930905814549484, NaN, 4.24803068143091, before, 10
5560, Figure 4.1 - average, 0, 24108, 3, 30, 0.09, 0.0625, 0.03488372093023256, 0.09, 0.03068974527617131, NaN, 3.8281362798495047, before, 9
5558, Figure 4.1 - average, 0, 24398, 3, 30, 0.1, 0.06666666666666667, 0.037037037037037035, 0.1, 0.03333333333333333, NaN, 3.713463425091695, before, -
5570, Figure 4.1 - average, 0, 24648, 3, 30, 0.04, 0.047647647647647645, 0.02946428571428571, 0.04, 0.018596143826917926, NaN, 3.573096327936255, before, 11
5564, Figure 4.1 - average, 0, 24638, 3, 30, 0.09, 0.08256880733944953, 0.045454545454545456, 0.09, 0.028603877677367766, NaN, 3.74515680570702, before, -
5560, Figure 4.1 - average, 0, 24807, 3, 30, 0.1, 0.09174311926605505, 0.050505050505050504, 0.1, 0.03178208630818641, NaN, 3.984524719233159, before, -
5570, Figure 4.1 - average, 0, 25385, 3, 30, 0.09, 0.042056074766355145, 0.023195876288659795, 0.09, 0.0288972584580571, NaN, 3.4321389967255618, before, -
5554, Figure 4.1 - average, 0, 26278, 3, 30, 0.12, 0.1530907547461028, 0.12175324675324675, 0.12000000000000002, 0.07066295580608792, NaN, 3.3977257095842015, before, 11
5556, Figure 4.1 - average, 0, 26146, 3, 30, 0.1, 0.0925925925925926, 0.05102040816326531, 0.1, 0.031943828249996996, NaN, 3.8427047681347997, before, 10
5568, Figure 4.1 - average, 0, 26379, 3, 30, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.6591054082208667, before, 11
5572, Figure 4.1 - average, 0, 26694, 3, 30, 0.11, 0.1619047619047619, 0.15263157894736842, 0.11000000000000001, 0.046586419849883466, NaN, 3.3344804899691463, before, 9
5554, Figure 4.1 - average, 0, 26923, 3, 30, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.785202573304423, before, -
5556, Figure 4.1 - average, 0, 26944, 3, 30, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.191353445332652, before, -
5568, Figure 4.1 - average, 0, 27100, 3, 30, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.7070682557288457, before, -
5562, Figure 4.1 - average, 0, 27007, 3, 30, 0.11, 0.09916094584286804, 0.06485671191553545, 0.11000000000000001, 0.04307029722157206, NaN, 4.398389006988182, before, 10
5572, Figure 4.1 - average, 0, 27491, 3, 30, 0.12, 0.1929499072356215, 0.14015151515151514, 0.12, 0.05196741170666763, NaN, 3.952300382676267, before, -
5562, Figure 4.1 - average, 0, 27755, 3, 30, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 4.098248553316816, before, -
5566, Figure 4.1 - average, 0, 29297, 4, 40, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.6592832646951137, before, 11
5566, Figure 4.1 - average, 0, 30040, 4, 40, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 2.9904545562180282, before, -
5564, Figure 4.1 - average, 0, 30309, 4, 40, 0.11, 0.09706257982120052, 0.05921052631578947, 0.11000000000000001, 0.042610101560427494, NaN, 4.032272216108695, before, 11
5560, Figure 4.1 - average, 0, 30269, 4, 40, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.6962829343936847, before, 10
5558, Figure 4.1 - average, 0, 30617, 4, 40, 0.1, 0.09708737864077671, 0.053763440860215055, 0.1, 0.032791291789197645, NaN, 3.8029057803587056, before, 8
5560, Figure 4.1 - average, 0, 31062, 4, 40, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.4404674534985045, before, -
5570, Figure 4.1 - average, 0, 31231, 4, 40, 0.1, 0.09286412512218964, 0.05952380952380952, 0.1, 0.04760748137598775, NaN, 3.4028675274292253, before, 9
5564, Figure 4.1 - average, 0, 31992, 4, 40, 0.09, 0.06451612903225808, 0.03614457831325301, 0.09, 0.031239456052528047, NaN, 3.6801549788261125, before, -
5570, Figure 4.1 - average, 0, 31995, 4, 40, 0.07, 0.04964539007092198, 0.027777777777777776, 0.06999999999999999, 0.024152294576982397, NaN, 3.0946620127506685, before, -
5558, Figure 4.1 - average, 0, 32324, 4, 40, 0.12, 0.19617224880382775, 0.11942959001782531, 0.12000000000000002, 0.05283300354832654, NaN, 3.857564417273543, before, -
5568, Figure 4.1 - average, 0, 32867, 4, 40, 0.12, 0.18951481602084014, 0.1171993911719939, 0.12, 0.05156791304239777, NaN, 3.9360546724344116, before, 11
5554, Figure 4.1 - average, 0, 33177, 4, 40, 0.14, 0.21888634630053394, 0.15741953082378615, 0.13999999999999999, 0.07782564494051071, NaN, 3.4275383657406566, before, 11
5556, Figure 4.1 - average, 0, 33524, 4, 40, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 4.309407413011149, before, 11
5568, Figure 4.1 - average, 0, 33595, 4, 40, 0.12, 0.177045177045177, 0.16203703703703703, 0.12, 0.06516379626418065, NaN, 3.977079852700845, before, -
5554, Figure 4.1 - average, 0, 33988, 4, 40, 0.12, 0.1875, 0.11428571428571428, 0.12, 0.05133731064651923, NaN, 3.631119604337446, before, -
5556, Figure 4.1 - average, 0, 34236, 4, 40, 0.1, 0.18181818181818182, 0.1, 0.1, 0.03162277660168379, NaN, 3.755811759179924, before, -
5562, Figure 4.1 - average, 0, 34322, 4, 40, 0.11, 0.12091503267973858, 0.2028985507246377, 0.11000000000000001, 0.05532970344478725, NaN, 3.316766253380374, before, 11
5572, Figure 4.1 - average, 0, 34804, 4, 40, 0.07, 0.07317219817219817, 0.06401030561478323, 0.06999999999999999, 0.04812497866864828, NaN, 4.228107137347106, before, 9
5562, Figure 4.1 - average, 0, 35037, 4, 40, 0.09, 0.08411214953271029, 0.04639175257731959, 0.09, 0.0288972584580571, NaN, 3.608137750788919, before, -
