environment, simulationIndex, elapsedTime, epoch, iteration, accuracy, f1, precision, recall, gmeasure, mcc, score, before or after averaging, #peers included in current batch, before or after averaging, #peers included in current batch
Figure 4.4 - average - transfer, 0, 3075, 0, 0, 0.35, 0.5613636363636363, 0.4551790281329923, 0.35, 0.24309245115188, NaN, 2.302585220336914, after, 0
Figure 4.4 - average - transfer, 1, 3204, 0, 0, 0.28, 0.6250980392156863, 0.5555555555555555, 0.27999999999999997, 0.20183456364122918, NaN, 2.302585220336914, after, 0
Figure 4.4 - average - transfer, 2, 3300, 0, 0, 0.25, 0.4645191409897292, 0.482241575991576, 0.25, 0.20009699047118445, NaN, 2.302585220336914, after, 0
Figure 4.4 - average - transfer, 3, 3400, 0, 0, 0.2, 0.22875816993464052, 0.13877207737594618, 0.2, 0.09090921975934947, NaN, 2.302585220336914, after, 0
Figure 4.4 - average - transfer, 4, 3483, 0, 0, 0.26, 0.40399576758603123, 0.34978070175438597, 0.26, 0.17831679166639808, NaN, 2.302585220336914, after, 0
Figure 4.4 - average - transfer, 5, 3566, 0, 0, 0.23, 0.3570487483530962, 0.27711640211640215, 0.22999999999999998, 0.12850336006839566, NaN, 2.302585220336914, after, 0
Figure 4.4 - average - transfer, 6, 3647, 0, 0, 0.26, 0.5190065726665198, 0.5837289029535865, 0.25999999999999995, 0.22332667418885732, NaN, 2.302585220336914, after, 0
Figure 4.4 - average - transfer, 7, 3735, 0, 0, 0.21, 0.4501159603626397, 0.43539873780837635, 0.21000000000000002, 0.14861507891171905, NaN, 2.302585220336914, after, 0
Figure 4.4 - average - transfer, 8, 3824, 0, 0, 0.19, 0.39219740832644057, 0.5163511187607573, 0.19, 0.14019201775925877, NaN, 2.302585220336914, after, 0
Figure 4.4 - average - transfer, 9, 3938, 0, 0, 0.29, 0.597410759175465, 0.7455357142857143, 0.29000000000000004, 0.2618413113699076, NaN, 2.302585220336914, after, 0
Figure 4.4 - average - transfer, 0, 42911, 3, 10, 0.43, 0.6001046698872786, 0.5441117052881759, 0.43, 0.32410033341411276, NaN, 1.995914375087987, after, 0
Figure 4.4 - average - transfer, 1, 43360, 3, 10, 0.49, 0.5726116737804886, 0.7094024041392463, 0.49000000000000005, 0.44191821568103073, NaN, 2.0984070493408638, after, 0
Figure 4.4 - average - transfer, 2, 43773, 3, 10, 0.47, 0.5253428957790013, 0.6717164414532836, 0.47000000000000003, 0.4140313892342268, NaN, 2.0234755428262976, after, 0
Figure 4.4 - average - transfer, 3, 44252, 3, 10, 0.52, 0.6111893588174423, 0.6905188496803404, 0.52, 0.46192934292677024, NaN, 2.117689654401939, after, 0
Figure 4.4 - average - transfer, 4, 44628, 3, 10, 0.51, 0.6188978940975035, 0.6841228946492104, 0.51, 0.4619536275967751, NaN, 2.015377141424291, after, 0
Figure 4.4 - average - transfer, 5, 44884, 3, 10, 0.5, 0.6532171803910933, 0.6512509414808266, 0.5, 0.4173963287955793, NaN, 2.0763608328887675, after, 0
Figure 4.4 - average - transfer, 6, 45227, 3, 10, 0.45, 0.5107594891075243, 0.692687832433749, 0.45, 0.4049806654129048, NaN, 2.060390231070036, after, 0
